	0
C,CA,CB,CD1,CD2,CG,H,HA,HB2,HB3,HD11,HD12,HD13,HD21,HD22,HD23,HG,N,O	145800	Val
C,CA,CB,CD,CG,H,HA,HB2,HB3,HG2,HG3,N,O,OE1,OE2	131601	Glu
C,CA,CB,CD,CG,CZ,H,HA,HB2,HB3,HD2,HD3,HE,HG2,HG3,HH11,HH12,HH21,HH22,N,NE,NH1,NH2,O	129903	Arg
C,CA,CB,CD,CE,CG,H,HA,HB2,HB3,HD2,HD3,HE2,HE3,HG2,HG3,HZ1,HZ2,HZ3,N,NZ,O	123908	Lys
C,CA,CB,CG,H,HA,HB2,HB3,N,O,OD1,OD2	116849	Asp
C,CA,CB,H,HA,HB2,HB3,HG,N,O,OG	114499	Ser
C,CA,CB,H,HA,HB1,HB2,HB3,N,O	110210	Ala
C,CA,H,HA2,HA3,N,O	107496	Gly
C,CA,CB,CG2,H,HA,HB,HG1,HG21,HG22,HG23,N,O,OG1	103019
C,CA,CB,CG1,CG2,H,HA,HB,HG11,HG12,HG13,HG21,HG22,HG23,N,O	102411
C,CA,CB,CD,CG,HA,HB2,HB3,HD2,HD3,HG2,HG3,N,O	99164
O	98793
C,CA,CB,CG,H,HA,HB2,HB3,HD21,HD22,N,ND2,O,OD1	90262
C,CA,CB,CD,CG,H,HA,HB2,HB3,HE21,HE22,HG2,HG3,N,NE2,O,OE1	86581
C,CA,CB,CD1,CG1,CG2,H,HA,HB,HD11,HD12,HD13,HG12,HG13,HG21,HG22,HG23,N,O	83423
C,CA,CB,CD1,CD2,CE1,CE2,CG,CZ,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,HH,N,O,OH	80923
C,CA,CB,CD1,CD2,CE1,CE2,CG,CZ,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,HZ,N,O	77357
C,CA,CB,CD2,CE1,CG,H,HA,HB2,HB3,HD1,HD2,HE1,N,ND1,NE2,O	42989
C,CA,CB,CE,CG,H,HA,HB2,HB3,HE1,HE2,HE3,HG2,HG3,N,O,SD	39887
C,CA,CB,CD1,CD2,CE2,CE3,CG,CH2,CZ2,CZ3,H,HA,HB2,HB3,HD1,HE1,HE3,HH2,HZ2,HZ3,N,NE1,O	32596
C,CA,CB,CD2,CE1,CG,H,HA,HB2,HB3,HD2,HE1,HE2,N,ND1,NE2,O	14479
C,CA,CB,H,HA,HB2,HB3,HG,N,O,SG	14150
C,CA,CB,H,HA,HB2,HB3,N,O,SG	5794
C,CA,CB,CD2,CE1,CG,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,N,ND1,NE2,O	4522
C,CA,CB,CD,CG,H,HA,HB2,HB3,HE2,HG2,HG3,N,O,OE1,OE2	3926
C,CA,CB,CG,H,HA,HB2,HB3,HD2,N,O,OD1,OD2	1601
C,CA,CB,CD,CE,CG,H,HA,HB2,HB3,HD2,HD3,HE2,HE3,HG2,HG3,HZ1,HZ2,N,NZ,O	805
C,CA,CB,H,HA,HB2,HB3,N,O,OG	571
C,CA,CB,CD,CG,H,HA,HB2,HB3,HG2,HG3,N,O	184
C,CA,CB,CG,H,HA,HB2,HB3,N,O	182
C,CA,CB,CD,CG,H,HA,HB2,HB3,HD2,HD3,HG2,HG3,N,O	174
C,CA,CB,CG2,H,HA,HB,HG21,HG22,HG23,N,O,OG1	149
CA	57
CA,O	57
C,CA,CB,CD1,CD2,CE1,CE2,CG,CZ,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,N,O,OH	52
C,CA,H,HA,HB2,HB3,HG2,HG3,N,O	46
C,CA,H,HA,HB2,HB3,HD2,HD3,HE2,HE3,HG2,HG3,HZ1,HZ2,HZ3,N,O	41
C,CA,H,HA,HB,HG1,HG21,HG22,HG23,N,O	40
C,CA,CB,CD,CG,CZ,H,HA,HB2,HB3,HD2,HD3,HG2,HG3,HH11,HH12,HH21,HH22,N,NE,NH1,NH2,O	36
C,CA,H,HA,HB2,HB3,HD11,HD12,HD13,HD21,HD22,HD23,HG,N,O	35
C,CA,H,HA,HB2,HB3,HG,N,O	31
C,CA,H,HA,HB,HG11,HG12,HG13,HG21,HG22,HG23,N,O	29
C,CA,H,HA,HB,HD11,HD12,HD13,HG12,HG13,HG21,HG22,HG23,N,O	27
C,CA,H,HA,HB1,HB2,HB3,N,O	22
C,CA,CB,CD,CG,CL,CZ,H,HA,HB2,HB3,HD2,HD3,HE,HG2,HG3,HH11,HH12,HH21,HH22,N,NE,NH1,NH2,O	18
C,CA,H,HA,HB2,HB3,HD2,HD3,HE,HG2,HG3,HH11,HH12,HH21,HH22,N,O	17
C,CA,H,HA,HB2,HB3,HD21,HD22,N,ND2,O,OD1	17
C,CA,CB,CD1,CD2,CG,CL,H,HA,HB2,HB3,HD11,HD12,HD13,HD21,HD22,HD23,HG,N,O	15
C,CA,CB,CG2,CL,H,HA,HB,HG1,HG21,HG22,HG23,N,O,OG1	12
C,CA,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,HH,N,O	12
C,CA,H,HA,HB2,HB3,N,O	12
C,CA,CB,CG1,CG2,CL,H,HA,HB,HG11,HG12,HG13,HG21,HG22,HG23,N,O	11
C,CA,CB,CD1,CG1,CG2,CL,H,HA,HB,HD11,HD12,HD13,HG12,HG13,HG21,HG22,HG23,N,O	11
C,CA,CB,CD1,CD2,CE1,CE2,CG,CL,CZ,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,HH,N,O,OH	10
C,CA,CB,CD,CG,CL,H,HA,HB2,HB3,HG2,HG3,N,O,OE1,OE2	9
C,CA,CL,H,HA2,HA3,N,O	9
C,CA,CB,CG,CL,H,HA,HB2,HB3,N,O,OD1,OD2	8
C,CA,CB,CL,H,HA,HB1,HB2,HB3,N,O	8
C,CA,CB,CD,CG,CL,HA,HB2,HB3,HD2,HD3,HG2,HG3,N,O	8
C,CA,CB,CD1,CD2,CE1,CE2,CG,CL,CZ,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,HZ,N,O	8
C,CA,HA,HB2,HB3,HD2,HD3,HG2,HG3,N,O	7
C,CA,CB,CD1,CD2,CG,H,HA,HB2,HB3,HD11,HD12,HD13,HD21,HD22,HD23,HG,N,NA,O	6
C,CA,CB,CD,CG,CL,H,HA,HB2,HB3,HE21,HE22,HG2,HG3,N,NE2,O,OE1	6
C,CA,H,HA,HB2,HB3,HE21,HE22,HG2,HG3,N,NE2,O,OE1	6
C,CA,CB,CG2,H,HA,HB,HG1,HG21,HG22,HG23,N,NA,O,OG1	6
C,CA,CB,CG,CL,H,HA,HB2,HB3,HD21,HD22,N,ND2,O,OD1	6
C,CA,CB,CD2,CE1,CG,CL,H,HA,HB2,HB3,HD1,HD2,HE1,N,ND1,NE2,O	6
C,CA,CB,CL,H,HA,HB2,HB3,HG,N,O,OG	6
C,CA,CB,CD,CG,CZ,H,HA,HB2,HB3,HD2,HD3,HE,HG2,HG3,HH11,HH12,HH21,HH22,N,NA,NE,NH1,NH2,O	5
C,CA,CB,CD,CG,H,HA,HB2,HB3,HG2,HG3,N,NA,O,OE1,OE2	5
C,CA,CB,H,HA,HB1,HB2,HB3,N,NA,O	5
C,CA,CB,CE,CG,CL,H,HA,HB2,HB3,HE1,HE2,HE3,HG2,HG3,N,O,SD	4
C,CA,CB,CG,H,HA,HB2,HB3,HD21,HD22,N,NA,ND2,O,OD1	4
C,CA,CB,CD,CE,CG,CL,H,HA,HB2,HB3,HD2,HD3,HE2,HE3,HG2,HG3,HZ1,HZ2,HZ3,N,NZ,O	4
C,CA,CB,CD,CG,H,HA,HB2,HB3,HE21,HE22,HG2,HG3,N,NA,NE2,O,OE1	4
C,CA,CB,CG,H,HA,HB2,HB3,N,NA,O,OD1,OD2	4
C,CA,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,HZ,N,O	4
C,CA,H,HA,HB2,HB3,HE1,HE2,HE3,HG2,HG3,N,O	3
C,CA,CB,H,HA,HB2,HB3,HG,N,NA,O,OG	3
C,CA,CB,CD1,CD2,CE2,CE3,CG,CH2,CL,CZ2,CZ3,H,HA,HB2,HB3,HD1,HE1,HE3,HH2,HZ2,HZ3,N,NE1,O	3
C,CA,CB,CD1,CD2,CE1,CE2,CG,CZ,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,HZ,N,NA,O	3
C,CA,CB,CD1,CG1,CG2,H,HA,HB,HD11,HD12,HD13,HG12,HG13,HG21,HG22,HG23,N,NA,O	3
C,CA,CB,CD,CG,CU,H,HA,HB2,HB3,HG2,HG3,N,O,OE1,OE2	2
C,CA,H,HA,HB2,HB3,HD1,HE1,HE3,HH2,HZ2,HZ3,N,O	2
C,CA,H,HA,HB2,HB3,HE21,HE22,HG2,HG3,N,O	2
C,CA,CU,H,HA2,HA3,N,O	2
C,CA,CB,CD1,CD2,CE1,CE2,CG,CU,CZ,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,HH,N,O,OH	2
C,CA,CB,CD2,CE1,CG,CL,H,HA,HB2,HB3,HD2,HE1,HE2,N,ND1,NE2,O	2
C,CA,CB,CG,CU,H,HA,HB2,HB3,N,O,OD1,OD2	2
C,CA,CB,CD2,CE1,CG,CL,H,HA,HB2,HB3,HD1,HD2,HE1,HE2,N,ND1,NE2,O	2
C,CA,H,HA,HB2,HB3,HD21,HD22,N,O	1
C,CA,CB,CD,CG,CZ,H,HA,HB2,HB3,HD2,HD3,HE,HG2,HG3,HH11,HH12,HH21,HH22,N,NE,NH1,NH2,O,OG	1
C,CA,CB,CD1,CD2,CG,H,HA,HB2,HB3,HD21,HD22,N,ND2,O,OD1	1
C,CA,CB,CD1,CG1,CG2,H,HA,HB,HG1,HG21,HG22,HG23,N,O	1
C,CA,CB,CD2,CE1,CG,H,HA,HB2,HB3,HD1,HD2,HE1,N,NA,ND1,NE2,O	1
C,CA,CB,CD,CG,HA,HB2,HB3,HD2,HD3,HG2,HG3,N,NA,O	1
C,CA,CB,CD2,CE1,CG,CU,H,HA,HB2,HB3,HD1,HD2,HE1,N,ND1,NE2,O	1
C,CA,CB,CD,CE,CG,N,NZ,O	1
C,CA,CB,CG,CL,H,HA,HB2,HB3,HD2,N,O,OD1,OD2	1
C,CA,CB,CG1,CG2,H,HA,HB,HG11,HG12,HG13,HG21,HG22,HG23,N,NA,O	1
C,CA,CB,H,HA,HB2,HB3,HG,N,NA,O,SG	1
C,CA,CB,CE,CG,CU,H,HA,HB2,HB3,HE1,HE2,HE3,HG2,HG3,N,O,SD	1
C,CA,CD2,CE1,H,HA,HB2,HB3,HD1,HD2,HE1,N,ND1,NE2,O	1
C,CA,CB,CD,CG,CZ,N,NE,NH1,NH2,O	1
C,CA,H,HA2,HA3,N,NA,O	1
C,CA,CB,CU,H,HA,HB2,HB3,HG,N,O,OG	1
C,CA,N,O	1
C,CA,CB,CD,CE,CG,CU,H,HA,HB2,HB3,HD2,HD3,HE2,HE3,HG2,HG3,HZ1,HZ2,HZ3,N,NZ,O	1
C,CA,CB,CG1,CG2,CU,H,HA,HB,HG11,HG12,HG13,HG21,HG22,HG23,N,O	1
C,CA,CB,CD,CE,CG,H,HA,HB2,HB3,HD2,HD3,HE2,HE3,HG2,HG3,HZ1,HZ2,HZ3,N,NA,NZ,O	1
C,CA,CB,CD2,CE1,CG,N,ND1,NE2,O	1
C,CA,CL,H,HA2,HA3,N,NA,O	1
C,CA,CB,CL,H,HA,HB2,HB3,HG,N,O,SG	1
C,CA,CB,CD2,CE1,CG,CL,H,HA,HB2,HB3,HD1,HD2,HE1,N,NA,ND1,NE2,O	1
C,CA,CB,CG,CU,H,HA,HB2,HB3,HD21,HD22,N,ND2,O,OD1	1
C,CA,CB,CG2,CU,H,HA,HB,HG1,HG21,HG22,HG23,N,O,OG1	1
C,CA,CB,N,O,OG	1
